3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
0.5,2.9,0.2,50,88.1,18.8,5.8,2,0.7,0.8,Tomas Satoransky
1.4,4.7,0.2,42.4,85.9,29.3,16.6,4,1,2.8,Dennis Schroder
1.1,0.9,0.2,39.6,80,15.2,5,3.7,0.4,0.6,Mike Scott
0.6,1.2,0.2,39,81,15.1,5.3,1.3,0.4,0.8,Wayne Selden
0.8,2.5,0.1,43.9,87.7,29.6,15.1,3,0.5,2.3,Collin Sexton
1.9,0.9,0.2,44.4,79.4,20.8,8.3,1.5,0.4,0.5,Landry Shamet
1.8,1.9,0.3,42.4,87.5,25.8,9.2,3.1,1.2,0.9,Iman Shumpert
0.7,2.8,0.7,59.1,77.3,30.2,14.5,6.3,1.1,1.6,Pascal Siakam
0.0,7.9,0.8,57.6,59.9,33.2,15.8,9.1,1.4,3.3,Ben Simmons
0.5,2.1,0.4,36.3,83.3,21.4,7.3,2.4,0.5,1.3,Jonathon Simmons
1.2,4.2,0.4,38.4,78.7,25.5,7.3,2.9,1.8,1.4,Marcus Smart
1.1,3,0.3,41.5,66.7,24.4,9.2,1.9,0.4,1.1,Ish Smith
0.5,2.7,0.5,32.1,81.8,24.7,7.7,2.3,1,1,Zhaire Smith
1.3,4,0.5,43.7,66.7,28.4,13,3,1.3,3.3,Dennis Smith Jr.
1.2,0.8,0.2,46.3,89.7,17.4,6.8,2,0.4,0.4,Tony Snell
0.9,1,0.6,38.6,75,18.1,6.3,4.5,0.8,0.7,Omari Spellman
1.1,1.5,0.1,43.2,90.9,16.7,6.9,1.8,0.3,1.1,Nik Stauskas
1.0,1.8,0.1,44.5,75,15.1,7.6,3.2,0.7,1.3,Lance Stephenson
1.8,1.7,0.6,45.9,84.7,31.3,16.8,6.5,1.1,1.6,Jayson Tatum
0.8,8.3,0.5,38.4,86.4,31.5,11.6,2.3,1,2.4,Jeff Teague
1.5,1.4,0.4,44.5,79,31.5,10.4,3,1.1,1.1,Garrett Temple
1.0,1,1,12.5,50,21.0,4,1,2,2,Jared Terrell
0.5,1,0.5,56.1,70.8,15.2,7,3.7,0.3,0.8,Daniel Theis
0.4,0.6,0.2,36,84.6,15.9,3.7,2.4,0.6,0.6,Lance Thomas
2.6,2,0.7,44.7,82.1,34.6,22,4.3,1.2,1.8,Klay Thompson
0.0,2.1,0.4,55.1,61.2,30.3,12,11.6,0.8,1.5,Tristan Thompson
1.8,2.5,1.8,48.2,85,33.4,21,11.6,0.9,3,Karl-Anthony Towns
0.7,1.9,0.4,47,81.6,23.2,11.3,3.1,0.4,1.9,Allonzo Trier
2.0,1,0.4,43.1,63.2,34.9,8.3,6.2,1.1,0.9,PJ Tucker
0.1,4.2,0.3,46.6,65.2,25.6,8.1,5,0.7,2,Evan Turner
0.6,1.7,2.9,49.3,71.2,28.1,12.6,7.1,0.4,1.7,Myles Turner
0.3,1,0.8,57.5,81.9,18.8,12.8,7.2,0.4,1.3,Jonas Valanciunas
